project,original_sample,new_sample
battery123,arpy,arpy
battery123,bass,bbass
battery123,bass3,bass3
battery123,hand,hand
battery123,jvbass,jvbass
battery123,peri,peri
battery123,psr,psr
battery123,rm,rm
battery123,tacscan,tacscan
battery123,tok,tok
battery123,trump,trump
battery123,uxay,uxay
battery123,warbler,warbler
battery123,wobble,wobble
juliese,cy,cy
juliese,eg,eg
juliese,gt,gt
juliese,hh,rhh
juliese,k,k
juliese,pc,pc
juliese,pclow,pclow
juliese,sn,rsn
juliese,udu,udu
juliese,vb,vb
juliese,wb,wb
pigs-nose,armora,armora
pigs-nose,baa,baa
pigs-nose,bass,pbass
pigs-nose,bd,pbd
pigs-nose,casio,casio
pigs-nose,hh,phh
pigs-nose,ho,ho
pigs-nose,house,house
pigs-nose,jungbass,jungbass
pigs-nose,monsterb,monsterb
pigs-nose,print,print
pigs-nose,qlatibro,qlatibro
pigs-nose,qspace,qspace
pigs-nose,rm,rm
pigs-nose,sn,psn
pigs-nose,wobble,wobble
piston,ant,ant
piston,bz,bz
piston,bzl,bzl
piston,cymb,cymb
piston,dubb,dubb
piston,ff,ff
piston,fly,fly
piston,gnome,gnome
piston,hh,hh
piston,ice,ice
piston,k,k
piston,plode,plode
piston,sn,sn
piston,wt,wt
piston,wtsn,wtsn
something-to-say,bass,sbass
something-to-say,bd,sbd
something-to-say,hh,hh
something-to-say,house,house
something-to-say,kurt,kurt
something-to-say,moog,moog
something-to-say,msg,msg
something-to-say,rm,rm
something-to-say,sitw,sitw
something-to-say,sitwc,sitwc
something-to-say,stab,stab
something-to-say,wobble,wobble
